店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),交通建議,連結
891新莊潛水家,,北部地區,新北市,242新北市新莊區中正路891之29號2樓,25.02344546,121.4149638,,,,
龍潛國際有限公司 LOONG DIVE INTERNATIONAL,,北部地區,新北市,248新北市五股區登林路77巷25號,25.06920881,121.4259134,,,,
Dive Express(DE工作室)-請先預約,,北部地區,新北市,24864新北市五股區芳洲五路86號,25.08644336,121.4458569,,,,
Water Pro 宏匯百貨店,,北部地區,新北市,24250新北市新莊區新北大道四段3號4樓,25.05951977,121.4494915,,,,
海玩子潛水訓練中心 Ocean Player Diving Center,,北部地區,新北市,220新北市板橋區光武街136巷8弄6號1樓,25.02983494,121.4660381,,,,
悠潛潛水,,北部地區,新北市,242新北市新莊區頭前路No. 60-3號,25.05252437,121.4668085,,,,
飛漩潛水,,北部地區,新北市,247新北市蘆洲區中山二路137巷9號1樓,25.08124019,121.4720644,,,,
日榮潛泳用品有限公司,,北部地區,新北市,241新北市三重區溪尾街108巷52號,25.0781192,121.4874227,,,,
逐海俱樂部潛水訓練中心,,北部地區,新北市,241新北市三重區富華街81號1樓,25.0838621,121.4918339,,,,
三來潛水,,北部地區,新北市,220新北市板橋區中山路二段513號,25.02115606,121.4828233,,,,
gogoscuba 台灣最大潛水裝備商城,,北部地區,新北市,235新北市中和區建八路231-1號,25.00001552,121.4912299,,,,
藍星海洋潛水俱樂部,,北部地區,新北市,235新北市中和區南山路27號,24.99905067,121.5022929,,,,
Fun Divers Taiwan 瘋潛水,,北部地區,新北市,23446新北市永和區和平街,25.00993686,121.513709,,,,
DiveXTrim潛水部落,,北部地區,新北市,241新北市三重區三寧街31號1樓,25.05990297,121.4899853,,,,
浮兒樂 Float Club 水上用品店,,北部地區,桃園市,334桃園市八德區建德路273號1F,24.93222856,121.280825,,,,
正海人潛水用品企業社,,北部地區,桃園市,334桃園市八德區仁德一路110號,24.93594475,121.2897641,,,,
Prussian blue 普魯士藍,,北部地區,桃園市,320025桃園市中壢區吉利三街26巷21號,24.98121025,121.2510658,,,,
巡航艦潛水,,北部地區,桃園市,330桃園市桃園區宏昌六街76號,24.98840455,121.2969706,,,,
島嶼潛水,,北部地區,桃園市,330桃園市桃園區民安路139號,24.99496018,121.3002437,,,,
JBC潛水,,北部地區,桃園市,330桃園市桃園區南華街207號,24.99435604,121.3068438,,,,
基隆潛水器材行,,北部地區,基隆市,205基隆市暖暖區源遠路325巷105號,25.10050333,121.7573277,,,,
摸魚去海洋休閒中心,,北部地區,基隆市,202基隆市中正區中正路116號,25.13774833,121.7499065,,,,
藍波潛水用品店,,北部地區,基隆市,203基隆市中山區文化路100號,25.15368747,121.7345524,,,,
良友潛水,,北部地區,基隆市,202基隆市中正區中正路598號,25.1506485,121.7661137,,,,
國傑工程企業有限公司,,北部地區,基隆市,202基隆市中正區北寧路362-1號,25.14000471,121.7925244,,,,
東半球潛水企業社,,北部地區,宜蘭縣,270宜蘭縣蘇澳鎮蘇東路6之8號,24.59598607,121.8555887,,,,
歐都納戶外用品(宜蘭羅東店),,北部地區,宜蘭縣,265宜蘭縣羅東鎮興東路242號,24.68296616,121.7701373,,,,
薛長興公司-三結廠,,北部地區,宜蘭縣,268宜蘭縣五結鄉五結中路三段102號,24.70241418,121.7882945,,,,
國際水上用品,,北部地區,宜蘭縣,262宜蘭縣礁溪鄉武暖路6-2號,24.78323333,121.76428,,,,
極酷衝浪俱樂部G-cool Surf Club,,北部地區,宜蘭縣,261宜蘭縣頭城鎮烏石港路93-2號,24.87375325,", 121.83947074852557",,,,
包捷潛水,,北部地區,宜蘭縣,261宜蘭縣頭城鎮濱海路六段70號,24.94338255,121.9028426,,,,
和平潛水,,東部地區,花蓮縣,970花蓮縣花蓮市和平路341號,23.9734336,121.6036522,,,,
自然休閒,,東部地區,花蓮縣,970花蓮縣花蓮市仁愛街72號,23.97492331,121.6048754,,,,
水世界運動休閒用品,,東部地區,花蓮縣,970花蓮縣花蓮市富國路155號,23.98936542,121.594295,,,,
PADI Diving Center,,東部地區,花蓮縣,970花蓮縣花蓮市富裕二街169號,23.99657084,121.6010327,,,,
藍海潛水用品社,,東部地區,花蓮縣,950台東縣台東市正氣路39號,22.7503707,121.1541666,,,,
歐都納戶外用品(台東店),,東部地區,花蓮縣,950台東縣台東市新生路332號,22.75753659,121.142712,,,,
東河潛水,,東部地區,花蓮縣,959台東縣東河鄉東河村13鄰364號,22.96986266,121.3035145,,,,
