店家名,地區,地址,緯度,經度,連結
蘭嶼 蘭底潛水,蘭嶼鄉,952台東縣蘭嶼鄉台東縣蘭嶼鄉紅頭村13號,22.02434932,121.5550809,
藍海屋潛水渡假村,蘭嶼鄉,952台東縣蘭嶼鄉1-8號,22.02350767,121.5585915,
蘭嶼潛規則工作室,蘭嶼鄉,952台東縣蘭嶼鄉東清村,22.05861142,121.5659626,
蘭嶼東龍潛水Tung Lung Diving INN,蘭嶼鄉,952台東縣蘭嶼鄉紅頭村1之10號,22.02092356,121.5604095,
蘭嶼路易浮潛&SUP,蘭嶼鄉,952台東縣蘭嶼鄉朗島村235-1號,22.07844834,121.5252715,
Tec Only 潛水中心,蘭嶼鄉,952台東縣蘭嶼鄉朗島村6-2號,22.07924579,121.5291356,
蘭嶼 飛魚浮潛,蘭嶼鄉,95241台東縣蘭嶼鄉漁人部落143號952,22.0264751,121.5411409,
Hertz freediving 自由潛水學校（蘭嶼）,蘭嶼鄉,952台東縣蘭嶼鄉1-19號,22.02315218,121.5589696,
Ownmind自由潛水工作室,蘭嶼鄉,952台東縣蘭嶼鄉12-2號,22.0581568,121.5654561,
Azul Apnea Freediving 朗。自由潛水,蘭嶼鄉,952台東縣蘭嶼鄉朗島村6-1號1樓,22.07919108,121.5291291,
暖暖浮潛,蘭嶼鄉,95242台東縣蘭嶼鄉82號,22.03823974,121.5669555,
Unlockdive 解鎖自由潛水工作室,蘭嶼鄉,952台東縣蘭嶼鄉122號,22.05056966,121.5126536,
蘭嶼小馬浮潛工作室/SUP立槳&浮潛體驗,蘭嶼鄉,952台東縣蘭嶼鄉197之1號,22.0390299,121.5668748,
海岸線 Lanyu Coastline,蘭嶼鄉,952台東縣蘭嶼鄉朗島村6鄰235之2號,22.07830805,121.5252279,
蘭嶼海的窩,蘭嶼鄉,台東縣蘭嶼鄉197之六號,22.03938483,121.5671146,
綠島飛魚潛水,蘭嶼鄉,951台東縣綠島鄉?港路1-2號,22.65781375,121.4755906,
吉米探險家露營地&潛水俱樂部 Jimmy Explorer's Campsite & Diving Club,蘭嶼鄉,952台東縣蘭嶼鄉1之6號,22.01316719,121.567451,
玩在蘭嶼—水上自行車/在地旅遊套裝行程,蘭嶼鄉,952台東縣蘭嶼鄉92之一,22.03902576,121.5662728,
藍洋潛水訓練中心 Blue Ocean SCUBA Center,蘭嶼鄉,952台東縣蘭嶼鄉295之2號,22.05835564,121.5095708,
全球技術潛水（嘉義店）,嘉義市,600嘉義市西區姜安街9號,23.48036288,120.4249911,
UFO悠浮潛水,嘉義市,600340嘉義市東區彌陀路238巷98弄82號,23.47570321,120.4661293,
三木子潛水選品,台南市,700台南市中西區忠義路一段40號,22.98579914,120.2018985,
Diversity freediving 潛城自由潛水訓練中心 台南站,台南市,700台南市中西區中山路90號10號樓之12,22.99432283,120.208216,
銀色快手台南潛水中心,台南市,710台南市永康區永勝街35號,23.01715722,120.2549304,
水領域潛水中心,台南市,710台南市永康區復興路33巷30號,22.9978736,120.2496608,
高手潛水,台南市,701台南市東區東門路二段384號,22.98229087,120.227434,
曼呆潛水 KOZY DIVE,台南市,702台南市南區永成路三段229號,22.96820478,120.1954857,
淨海潛水運動企業社,高雄市,826高雄市梓官區信義路68巷,22.76194014,120.2632078,
浪人潛水,高雄市,811高雄市楠梓區興楠路269號,22.72980875,120.3333727,
海天潛水俱樂部,高雄市,813高雄市左營區埤子頭路82巷35號,22.68247184,120.2899092,
一名鯨人影像潛水中心,高雄市,813高雄市左營區重光路72巷46號1樓,22.68136378,120.3031032,
台灣潛水企業有限公司,高雄市,814高雄市仁武區霞海南一街33號,22.68096589,120.3230002,
解憂潛水Chill Diving,高雄市,807高雄市三民區大順二路680巷23號,22.65362942,120.320301,
高雄 Blue Marine 潛水,高雄市,807高雄市三民區清明街27號,22.64743383,120.3388769,
貝里斯潛水,高雄市,807高雄市三民區清華街1巷11號,22.64029808,120.342318,
AGA 技術潛水中心,高雄市,807高雄市三民區民本街25號,22.64020403,120.3421548,
多樂潛水,高雄市,807高雄市三民區淵源街1號,22.63833753,120.3361147,
萬德福潛水有限公司,高雄市,80054高雄市新興區中正三路5號10號樓之4,22.63058605,120.3109683,
日大潛水RIDA Diving,高雄市,800高雄市新興區民生一路164號,22.62791934,120.3095693,
Solidblue?藍潛水工作室,高雄市,802高雄市苓雅區新光路62巷17號樓之一,22.61198159,120.3009903,
高雄自由潛水中心,高雄市,806高雄市前鎮區梧州街30巷21號,22.61442777,120.3163281,
蓬萊潛水,高雄市,802高雄市高雄市苓雅區建國一路233號,22.63322415,120.3221532,
羅浮潛水中心,高雄市,830高雄市鳳山區立志街152號,22.62268971,120.3563821,
高峰潛水,高雄市,831高雄市大寮區民泰街92號,22.63970603,120.3923303,
海峰登山潛水社,高雄市,812高雄市小港區宏平路311號,22.56963004,120.3607688,
innocean 在海裡 潛水旅宿,屏東縣,929屏東縣東港鎮中山路6號4號,22.46588337,120.4522516,
山潛水工作室Sapai scuba diving studio,屏東縣,945屏東縣牡丹鄉大梅路1-15號,22.10018513,120.7475009,
高峰潛水訓練中心,屏東縣,94450屏東縣車城鄉龍井路1-8號,22.05660312,120.7267811,
Freeisland 自由島嶼,屏東縣,944屏東縣車城鄉後灣路77之9號,22.04030989,120.6980411,
樂芙海洋,屏東縣,944013屏東縣車城鄉後灣路181-1號,22.03856075,120.6944154,
恆茄-自由潛水背包客棧,屏東縣,946屏東縣恆春鎮茄苳路萬泉巷63號,22.0388671,120.7154093,
